"filename", "language", "Log", "HTML", "Python", "Batch", "Verilog", "C++", "Ini", "C", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000001545456688_4235459488.c", "C", 0, 0, 0, 0, 0, 0, 0, 222, 0, 0, 12, 35, 269
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000001625203581_2484743739.c", "C", 0, 0, 0, 0, 0, 0, 0, 1293, 0, 0, 12, 144, 1449
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000001655713616_0053799672.c", "C", 0, 0, 0, 0, 0, 0, 0, 1025, 0, 0, 12, 103, 1140
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000001959571196_4049836497.c", "C", 0, 0, 0, 0, 0, 0, 0, 330, 0, 0, 12, 46, 388
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000001986990250_3677558514.c", "C", 0, 0, 0, 0, 0, 0, 0, 312, 0, 0, 12, 46, 370
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000002262508658_4012997688.c", "C", 0, 0, 0, 0, 0, 0, 0, 4419, 0, 0, 12, 389, 4820
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000002463608433_3650585529.c", "C", 0, 0, 0, 0, 0, 0, 0, 915, 0, 0, 12, 124, 1051
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000002706816257_3239301648.c", "C", 0, 0, 0, 0, 0, 0, 0, 532, 0, 0, 12, 85, 629
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000002951155222_2862431528.c", "C", 0, 0, 0, 0, 0, 0, 0, 2776, 0, 0, 12, 279, 3067
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003105519793_4245161272.c", "C", 0, 0, 0, 0, 0, 0, 0, 3549, 0, 0, 12, 403, 3964
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003217662819_3877310806.c", "C", 0, 0, 0, 0, 0, 0, 0, 1112, 0, 0, 12, 140, 1264
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003598227355_3975733304.c", "C", 0, 0, 0, 0, 0, 0, 0, 1883, 0, 0, 12, 215, 2110
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003740656987_3671711236.c", "C", 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 12, 31, 216
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003798712014_3508565487.c", "C", 0, 0, 0, 0, 0, 0, 0, 6343, 0, 0, 12, 926, 7281
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000003860684139_0495241494.c", "C", 0, 0, 0, 0, 0, 0, 0, 6385, 0, 0, 12, 605, 7002
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000004013440036_2663932823.c", "C", 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 12, 46, 354
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000004134447467_2073120511.c", "C", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 12, 41, 338
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\m_00000000004173761106_1314178778.c", "C", 0, 0, 0, 0, 0, 0, 0, 1022, 0, 0, 12, 115, 1149
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\isim\tb_isim_beh.exe.sim\work\tb_isim_beh.exe_main.c", "C", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 11, 12, 55
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\mips_summary.html", "HTML", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\run.py", "Python", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 7, 13, 254
"c:\Users\86135\Desktop\CO_blogs\self\2021_computer_architecture\test_demo\test_p7\test_cmp\mips2\src\D_CMP.v", "Verilog", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
